time;type;event
[29-09-2025  11:18:56];info;echo123
[29-09-2025  11:40:57];info;os_emulator.pyconfig
[29-09-2025  11:41:11];info;config
[29-09-2025  11:41:20];info;echo1234567
[29-09-2025  11:42:02];info;echo 1234 567
[29-09-2025  11:42:13];info;echo1234 567
[29-09-2025  11:42:49];info;echo1234 567
[29-09-2025  11:42:58];info;echo1234 567
[29-09-2025  11:43:25];info;echo12345
[29-09-2025  11:43:37];info;ls
[29-09-2025  11:44:28];info;echo12345
[29-09-2025  11:44:34];info;echoecho 123
[29-09-2025  11:45:17];info;echo123
[29-09-2025  12:00:20];info;"config --start=""start.txt"""
[29-09-2025  12:00:21];info;exit
[29-09-2025  12:00:27];info;"echo123 456
"
[29-09-2025  12:00:27];info;"echo35 ls
"
[29-09-2025  12:00:27];info;ls
[29-09-2025  12:01:34];info;ls
[29-09-2025  12:01:35];info;cd ..
[01-10-2025  15:10:44];info;"echo123 456
"
[01-10-2025  15:10:44];info;"echo35 ls
"
[01-10-2025  15:10:44];info;ls
[01-10-2025  15:11:44];info;"config --vfs=""vfs.csv"""
[01-10-2025  15:11:47];info;config
[01-10-2025  15:13:06];info;--config
[01-10-2025  15:13:10];info;config
[01-10-2025  15:13:45];info;config
[01-10-2025  15:13:48];info;ls
[01-10-2025  15:14:32];info;ls
[01-10-2025  15:30:40];info;ls
[01-10-2025  15:30:57];info;ls
[01-10-2025  15:31:03];info;cd ~/home
[01-10-2025  15:31:06];info;ls
[01-10-2025  15:32:34];info;ls
[01-10-2025  15:32:35];info;cd
[01-10-2025  15:32:37];info;cd ~
[01-10-2025  15:32:43];info;cd ~/
[01-10-2025  15:33:25];info;test\ntest
[01-10-2025  15:33:37];info;cd 123
[01-10-2025  15:33:39];info;cd ///
[03-10-2025  14:17:16];info;ls
[03-10-2025  14:17:19];info;cd ~/home
[03-10-2025  14:17:21];info;ks
[03-10-2025  14:17:22];info;ls
[03-10-2025  14:17:28];info;cd ~/home
[03-10-2025  14:17:30];info;ls
[03-10-2025  14:17:33];info;cd ~/
